                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3769,                 3.4703,                 1.4057,                0.01697,                0.67308,                0.13308,                0.07992,                 1.2096,                 3.4742,                 1.2662,               1.25e-05,               1.25e-05,               1.25e-05
                      2,                 1.4265,                 3.5291,                  1.446,                0.02026,                0.69231,                0.14534,                0.08986,                 1.1892,                 3.4721,                 1.2535,             3.6758e-05,             3.6758e-05,             3.6758e-05
                      3,                 1.3375,                 3.4532,                 1.3801,                0.02509,                0.69231,                0.16755,                0.11599,                 1.1175,                 3.4582,                 1.2128,             6.0025e-05,             6.0025e-05,             6.0025e-05
                      4,                 1.2844,                 3.3174,                 1.3655,                0.03168,                 0.6958,                0.22609,                0.18045,                 1.0387,                 3.4459,                 1.1592,             8.2302e-05,             8.2302e-05,             8.2302e-05
                      5,                 1.1578,                 3.2559,                 1.2758,                0.03811,                0.78846,                0.27769,                0.23154,                 1.0226,                 3.4313,                 1.1309,             0.00010359,             0.00010359,             0.00010359
                      6,                 1.1687,                 3.0092,                 1.2874,                0.04144,                0.79983,                0.29253,                  0.243,                 1.0302,                 3.4049,                  1.138,             0.00012389,             0.00012389,             0.00012389
                      7,                 1.1214,                 2.8914,                  1.238,                0.04491,                0.68094,                0.31096,                0.25401,                 1.0125,                 3.3366,                 1.1302,              0.0001432,              0.0001432,              0.0001432
                      8,                 1.0895,                 2.5637,                 1.2138,                0.04425,                0.82517,                0.35553,                 0.2831,                0.99347,                 3.2594,                 1.1123,             0.00016151,             0.00016151,             0.00016151
                      9,                  1.109,                 2.4107,                 1.2452,                0.04416,                0.70979,                  0.407,                0.32151,                 0.9703,                  3.201,                 1.1014,             0.00017884,             0.00017884,             0.00017884
                     10,                 1.0147,                 2.3829,                 1.1986,                0.04294,                0.73252,                0.44162,                0.34847,                0.97709,                 3.1482,                  1.098,             0.00019518,             0.00019518,             0.00019518
                     11,                 1.0632,                  2.194,                 1.2151,                0.52476,                0.54458,                0.45555,                0.35545,                0.99791,                  3.093,                 1.0929,             0.00021053,             0.00021053,             0.00021053
                     12,                 1.0385,                 2.2093,                 1.1865,                0.93968,                0.28032,                0.47163,                0.35899,                 1.0318,                 3.0492,                 1.1005,             0.00022488,             0.00022488,             0.00022488
                     13,                 1.0453,                 2.1514,                 1.1749,                0.96306,                0.23744,                 0.4783,                0.35929,                  1.025,                 3.0135,                 1.1092,             0.00023825,             0.00023825,             0.00023825
                     14,                 1.1253,                  1.964,                  1.183,                 0.8638,                  0.192,                0.45192,                0.33516,                 1.0455,                 2.9644,                 1.1199,             0.00025063,             0.00025063,             0.00025063
                     15,                 1.1666,                 1.9584,                 1.1828,                0.87146,                0.17694,                0.44089,                0.31499,                  1.066,                 2.9255,                 1.1304,             0.00026202,             0.00026202,             0.00026202
                     16,                 1.0466,                 1.9118,                 1.2275,                0.84537,                0.17846,                0.43839,                0.31316,                 1.1354,                 2.8742,                 1.1605,             0.00027241,             0.00027241,             0.00027241
                     17,                 1.0077,                 1.7693,                 1.0962,                0.84435,                0.29736,                 0.4366,                0.30887,                 1.1601,                  2.725,                 1.1631,             0.00028182,             0.00028182,             0.00028182
                     18,                 1.0088,                  1.705,                 1.1983,                0.81873,                0.30115,                0.43648,                0.31177,                  1.169,                  2.606,                  1.174,             0.00029024,             0.00029024,             0.00029024
                     19,                 1.0433,                 1.6409,                 1.1853,                0.82515,                0.30099,                0.44214,                0.32078,                 1.1642,                 2.5188,                   1.19,             0.00029767,             0.00029767,             0.00029767
                     20,                 1.0125,                 1.4778,                 1.1576,                0.86676,                0.37289,                0.47314,                0.33828,                 1.1755,                 2.5163,                 1.2062,              0.0003041,              0.0003041,              0.0003041
                     21,                 1.0474,                 1.5078,                 1.2102,                0.85858,                0.39394,                 0.5219,                0.35401,                  1.194,                 2.4736,                 1.2282,             0.00030955,             0.00030955,             0.00030955
                     22,                 1.0191,                 1.4511,                 1.1352,                0.87424,                0.40334,                0.55346,                0.37888,                 1.2143,                  2.332,                 1.2399,             0.00031401,             0.00031401,             0.00031401
                     23,                 1.0477,                 1.3944,                 1.1519,                0.98201,                0.39529,                0.58296,                0.41918,                 1.1562,                  2.129,                 1.1913,             0.00031748,             0.00031748,             0.00031748
                     24,                 1.0073,                 1.3358,                 1.2091,                0.97792,                0.39596,                0.58371,                0.42019,                 1.1076,                 1.9614,                 1.1705,             0.00031995,             0.00031995,             0.00031995
                     25,                 1.0344,                 1.4012,                 1.1984,                0.97204,                0.39419,                0.59047,                 0.4308,                 1.0819,                 1.8858,                 1.1589,             0.00032144,             0.00032144,             0.00032144
                     26,                0.99636,                 1.2981,                 1.1738,                0.97879,                0.39589,                0.58353,                0.42022,                 1.1051,                 1.8526,                 1.1698,             0.00032194,             0.00032194,             0.00032194
                     27,                 1.0022,                 1.2823,                 1.1351,                 0.9702,                0.39394,                0.58428,                0.40987,                 1.1131,                 1.8159,                  1.164,             0.00032144,             0.00032144,             0.00032144
                     28,                 1.0152,                 1.2788,                 1.1671,                 0.9702,                0.39394,                0.58428,                0.40987,                 1.1131,                 1.8159,                  1.164,             0.00031996,             0.00031996,             0.00031996
                     29,                0.97174,                 1.2267,                 1.1251,                0.96517,                0.39375,                0.57904,                0.40857,                 1.1339,                 1.8063,                 1.1659,             0.00031749,             0.00031749,             0.00031749
                     30,                0.94443,                 1.2564,                 1.1188,                0.95208,                0.39585,                0.58593,                 0.4161,                 1.1488,                 1.8066,                 1.1713,             0.00031403,             0.00031403,             0.00031403
                     31,                0.90818,                 1.2102,                 1.1055,                0.95208,                0.39585,                0.58593,                 0.4161,                 1.1488,                 1.8066,                 1.1713,             0.00030958,             0.00030958,             0.00030958
                     32,                0.94651,                 1.2177,                 1.1012,                0.95106,                0.39137,                0.58403,                0.41889,                 1.1314,                  1.788,                 1.1612,             0.00030413,             0.00030413,             0.00030413
                     33,                  0.976,                 1.2157,                  1.118,                 0.9544,                 0.3894,                0.58921,                0.42094,                 1.1003,                 1.7389,                 1.1504,              0.0002977,              0.0002977,              0.0002977
                     34,                0.90579,                 1.1484,                 1.0864,                 0.9544,                 0.3894,                0.58921,                0.42094,                 1.1003,                 1.7389,                 1.1504,             0.00029028,             0.00029028,             0.00029028
                     35,                0.94578,                 1.2431,                   1.18,                0.74139,                0.45371,                0.56411,                 0.3985,                 1.0788,                 1.6646,                 1.1471,             0.00028187,             0.00028187,             0.00028187
                     36,                0.92571,                 1.2097,                 1.1316,                 0.7365,                0.47983,                0.56021,                0.39622,                 1.0792,                 1.6168,                 1.1521,             0.00027246,             0.00027246,             0.00027246
                     37,                0.84449,                 1.0939,                 1.0768,                 0.7365,                0.47983,                0.56021,                0.39622,                 1.0792,                 1.6168,                 1.1521,             0.00026207,             0.00026207,             0.00026207
                     38,                0.86621,                 1.0905,                  1.058,                0.76397,                0.49786,                0.56723,                 0.4021,                 1.0564,                 1.5833,                 1.1339,             0.00025069,             0.00025069,             0.00025069
                     39,                0.93854,                 1.1003,                 1.1538,                0.77739,                0.47961,                0.56783,                0.40515,                 1.0551,                 1.5578,                 1.1276,             0.00023832,             0.00023832,             0.00023832
                     40,                 0.9642,                  1.102,                 1.1595,                0.77739,                0.47961,                0.56783,                0.40515,                 1.0551,                 1.5578,                 1.1276,             0.00022495,             0.00022495,             0.00022495
                     41,                0.99506,                  1.281,                 1.2152,                0.76996,                0.49272,                 0.5737,                0.41372,                 1.0566,                 1.5571,                 1.1229,              0.0002106,              0.0002106,              0.0002106
                     42,                0.92329,                 1.1891,                 1.1388,                0.78445,                0.49868,                0.58628,                0.41491,                 1.0573,                  1.554,                 1.1104,             0.00019526,             0.00019526,             0.00019526
                     43,                 0.8799,                  1.118,                 1.0886,                0.78445,                0.49868,                0.58628,                0.41491,                 1.0573,                  1.554,                 1.1104,             0.00017893,             0.00017893,             0.00017893
                     44,                0.90257,                 1.1861,                  1.137,                 0.8209,                0.49229,                0.59996,                 0.4141,                 1.0782,                 1.5502,                 1.1242,              0.0001616,              0.0001616,              0.0001616
                     45,                0.85664,                 1.0752,                 1.0737,                 0.8209,                0.49229,                0.59996,                 0.4141,                 1.0782,                 1.5502,                 1.1242,             0.00014329,             0.00014329,             0.00014329
                     46,                0.92685,                 1.1794,                 1.1307,                0.85011,                0.49134,                0.60892,                0.42011,                 1.0998,                 1.5492,                 1.1378,             0.00012399,             0.00012399,             0.00012399
                     47,                0.87285,                 1.0792,                 1.0782,                0.85011,                0.49134,                0.60892,                0.42011,                 1.0998,                 1.5492,                 1.1378,             0.00010369,             0.00010369,             0.00010369
                     48,                0.87484,                 1.1027,                 1.0764,                 0.8536,                0.51118,                0.61497,                0.42347,                  1.114,                 1.5165,                 1.1572,             8.2413e-05,             8.2413e-05,             8.2413e-05
                     49,                0.85763,                 1.0968,                 1.1004,                 0.8536,                0.51118,                0.61497,                0.42347,                  1.114,                 1.5165,                 1.1572,              6.014e-05,              6.014e-05,              6.014e-05
                     50,                0.84844,                 1.1212,                 1.0947,                0.86786,                0.52427,                0.62044,                0.42705,                 1.1207,                 1.4754,                 1.1658,             3.6878e-05,             3.6878e-05,             3.6878e-05
